Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Maintenance engineer,Healthcare,Decreasing,high,64698.7,Associate Degree,10,6038,8943,27.53,77.33,Australia,47.99
Phytotherapist,Education,Increasing,high,62945.96,Master’s Degree,4,4530,8064,47.01,4.81,USA,75.13
"Administrator, local government",Manufacturing,Increasing,high,128828.77,Associate Degree,20,4540,8725,22.98,27.94,Brazil,64.64
"Designer, television/film set",Transportation,Decreasing,high,132289.3,Associate Degree,10,3361,4097,52.71,28.84,Brazil,30.54
Architectural technologist,Transportation,Increasing,high,67025.39,Associate Degree,18,8171,2133,85.51,55.84,India,31.48
"Teacher, adult education",Education,Increasing,high,66636.24,Bachelor’s Degree,14,5578,8129,93.86,95.71,Germany,27.67
Fine artist,Entertainment,Increasing,high,91726.39,PhD,16,3406,4516,4.75,25.54,Germany,63.78
Financial adviser,Education,Decreasing,high,146910.69,Master’s Degree,11,5397,5799,36.81,63.13,Australia,79.2
Community arts worker,Manufacturing,Increasing,high,109611.15,Bachelor’s Degree,9,3227,3280,96.34,37.51,Australia,75.36
Manufacturing engineer,Entertainment,Increasing,high,124071.87,High School,11,1615,7377,20.25,93.43,Brazil,66.51
Advertising account executive,IT,Increasing,high,84705.37,Associate Degree,9,2168,251,9.22,79.57,China,49.15
Naval architect,Manufacturing,Increasing,high,89343.89,Bachelor’s Degree,0,4286,8574,31.04,74.53,Australia,65.51
Dance movement psychotherapist,Entertainment,Decreasing,high,79418.49,Master’s Degree,2,5604,3090,76.13,25.68,Brazil,38.49
Management consultant,IT,Decreasing,high,142463.16,Bachelor’s Degree,2,9761,6533,81.92,53.04,Germany,30.52
Seismic interpreter,Finance,Decreasing,high,114977.06,Associate Degree,4,8041,689,13.48,10.75,China,52.23
"Research officer, trade union",Finance,Decreasing,high,103825.15,Bachelor’s Degree,18,6809,4588,15.73,21.27,Canada,42.07
Forensic scientist,Manufacturing,Increasing,high,127009.4,Associate Degree,15,3162,9235,72.31,97.04,Brazil,73.67
"Merchandiser, retail",Retail,Decreasing,high,113198.51,Bachelor’s Degree,0,759,1427,64.87,12.97,India,78.24
"Engineer, civil (consulting)",Healthcare,Increasing,high,145934.69,Associate Degree,14,4064,8541,1.35,53.7,UK,63.5
Tourism officer,Healthcare,Increasing,high,41768.6,High School,1,6029,9603,57.15,12.74,UK,25.66
Technical author,Healthcare,Increasing,high,111350.07,Associate Degree,17,3586,108,97.35,64.09,UK,30.33
Clothing/textile technologist,Retail,Increasing,high,56498.32,Bachelor’s Degree,19,6580,309,44.03,54.98,China,56.18
Human resources officer,Manufacturing,Increasing,high,116621.17,Associate Degree,7,7798,6668,96.83,58.73,Brazil,49.38
Information officer,IT,Decreasing,high,125221.29,Master’s Degree,3,9613,5171,16.8,33.19,China,22.84
Recycling officer,Transportation,Decreasing,high,90144.15,Master’s Degree,1,5952,6172,73.07,43.35,Germany,75.21
Interpreter,Retail,Decreasing,high,145948.71,Master’s Degree,13,4364,5523,42.09,98.22,Canada,34.58
"Horticulturist, commercial",Manufacturing,Decreasing,high,61545.61,PhD,18,2155,2356,86.24,14.01,UK,59.49
"Geneticist, molecular",Transportation,Decreasing,high,115859.97,Associate Degree,17,8550,1209,65.03,91.87,Australia,69.27
Politician's assistant,Finance,Increasing,high,48848.55,Bachelor’s Degree,12,9034,9499,39.22,4.35,UK,33.24
Technical sales engineer,Entertainment,Increasing,high,73226.64,Bachelor’s Degree,3,2925,2291,86.79,21.27,UK,33.31
"Designer, multimedia",IT,Decreasing,high,63478.01,High School,1,8586,3318,70.41,91.21,UK,52.44
Early years teacher,Healthcare,Increasing,high,137126.05,Master’s Degree,9,4529,565,82.96,99.08,UK,44.67
Museum/gallery exhibitions officer,Entertainment,Decreasing,high,55927.1,High School,11,4894,2470,27.21,31.85,Germany,57.28
Drilling engineer,Healthcare,Increasing,high,119572.02,High School,5,6248,1020,79.96,69.9,Germany,43.55
Insurance broker,IT,Decreasing,high,45730.81,High School,10,1045,9321,95.5,1.61,Germany,78.84
"Engineer, manufacturing systems",Retail,Increasing,high,104705.05,Associate Degree,4,5608,463,74.61,21.7,China,63.65
Barista,Healthcare,Increasing,high,114547.18,Bachelor’s Degree,15,2229,7686,70.04,24.76,Canada,30.22
Community arts worker,Retail,Decreasing,high,79141.44,Associate Degree,20,6453,5588,53.09,66.34,Canada,60.23
Chartered management accountant,Finance,Increasing,high,50744.87,High School,7,6779,4963,30.9,6.55,Germany,76.91
"Programme researcher, broadcasting/film/video",Manufacturing,Decreasing,high,111412.83,Bachelor’s Degree,13,8766,5411,44.14,76.46,UK,65.57
Psychiatric nurse,Finance,Decreasing,high,101661.1,Associate Degree,0,9347,9327,12.32,42.82,India,65.15
Video editor,Transportation,Increasing,high,145088.75,PhD,1,1000,289,92.78,90.75,India,56.12
Artist,Manufacturing,Decreasing,high,122632.0,PhD,8,9270,1567,13.4,27.89,China,56.63
Technical sales engineer,Transportation,Decreasing,high,98246.66,High School,5,4137,3280,59.66,44.53,Brazil,39.1
Public relations account executive,Finance,Decreasing,high,115920.55,Bachelor’s Degree,2,5264,711,72.53,3.62,Canada,60.14
Cytogeneticist,Transportation,Decreasing,high,101429.69,Bachelor’s Degree,13,4092,7499,49.45,33.0,Brazil,68.64
Quantity surveyor,IT,Decreasing,high,53418.66,PhD,3,7876,4400,1.5,69.9,China,61.3
"Engineer, mining",Retail,Increasing,high,50320.91,Bachelor’s Degree,20,5384,5822,50.55,91.13,India,28.93
General practice doctor,Retail,Increasing,high,138366.58,Master’s Degree,1,1678,4729,97.82,60.07,Canada,31.18
"Scientist, forensic",Manufacturing,Decreasing,high,67243.61,High School,6,1241,2980,60.61,28.35,India,34.86
"Investment banker, corporate",Education,Decreasing,high,84999.26,High School,4,5050,7098,73.67,85.25,Germany,46.05
"Engineer, chemical",Finance,Decreasing,high,46844.54,Associate Degree,11,482,730,17.45,11.35,Brazil,33.7
Production manager,Retail,Decreasing,high,147363.61,PhD,1,7726,5724,83.32,7.84,Brazil,77.59
"Solicitor, Scotland",Transportation,Decreasing,high,51813.52,Bachelor’s Degree,8,2790,721,5.22,32.72,USA,65.44
Careers information officer,Healthcare,Decreasing,high,144649.45,High School,4,3454,6561,98.46,21.67,China,32.28
Information officer,Transportation,Decreasing,high,53341.56,Associate Degree,2,170,6239,79.99,91.38,Brazil,59.65
Electronics engineer,Manufacturing,Increasing,high,79444.99,PhD,2,725,6928,20.22,77.24,Brazil,79.12
Medical sales representative,Transportation,Increasing,high,94361.49,Associate Degree,16,736,8146,66.53,59.23,Australia,62.73
"Psychologist, forensic",Entertainment,Increasing,high,47479.53,Bachelor’s Degree,1,904,9065,87.28,42.7,USA,38.04
Science writer,Education,Increasing,high,125561.63,Associate Degree,7,400,5426,49.52,26.76,Canada,43.65
"Teacher, music",Education,Increasing,high,142235.54,Associate Degree,19,6488,173,3.65,29.59,Australia,74.45
Hospital pharmacist,Education,Increasing,high,136938.58,Associate Degree,14,1359,567,78.27,5.28,Australia,55.81
Social researcher,Finance,Increasing,high,143705.02,High School,1,4991,1881,12.9,50.94,Australia,38.76
Horticultural therapist,Retail,Increasing,high,83918.63,PhD,9,983,7175,54.03,67.93,Canada,52.52
Data processing manager,Healthcare,Decreasing,high,102694.19,PhD,7,5668,1524,81.85,10.78,UK,53.19
Records manager,Manufacturing,Decreasing,high,89709.95,PhD,7,1280,971,70.96,67.02,India,44.16
Pathologist,Manufacturing,Decreasing,high,48094.95,Associate Degree,1,9284,5338,68.28,46.0,Germany,41.46
Advertising copywriter,Education,Decreasing,high,118788.02,PhD,12,6425,8442,87.41,96.62,Germany,44.12
"Engineer, building services",Retail,Decreasing,high,43269.37,High School,19,2733,1876,34.6,45.28,Germany,75.4
Make,Manufacturing,Decreasing,high,119439.08,High School,18,8443,4688,29.5,79.04,Canada,73.21
Heritage manager,Finance,Increasing,high,67654.94,PhD,19,7288,9386,80.42,74.07,Australia,29.37
Make,Retail,Increasing,high,48322.19,Associate Degree,0,1623,6928,83.06,37.01,Brazil,26.21
Health service manager,Retail,Decreasing,high,90165.38,Bachelor’s Degree,20,1222,3127,71.18,66.61,Australia,26.01
"Nurse, mental health",Manufacturing,Decreasing,high,122850.13,High School,7,2679,7080,85.65,33.08,USA,20.13
Maintenance engineer,Finance,Decreasing,high,59636.94,PhD,12,2679,3996,61.62,71.34,UK,52.04
Child psychotherapist,Retail,Decreasing,high,135395.24,Bachelor’s Degree,8,6122,6125,89.99,83.72,China,60.44
Immigration officer,Manufacturing,Decreasing,high,86826.89,High School,17,1287,9162,62.61,98.3,China,41.24
"Conservation officer, historic buildings",Transportation,Increasing,high,145822.69,PhD,17,7535,7521,87.83,73.48,USA,79.37
Community development worker,Transportation,Decreasing,high,103078.99,PhD,8,5885,9160,75.76,78.01,Germany,32.71
"Engineer, manufacturing systems",Retail,Increasing,high,112320.17,High School,11,1680,466,50.95,31.05,Brazil,22.46
Paramedic,Manufacturing,Increasing,high,58441.5,Master’s Degree,17,9819,4288,81.74,67.91,China,44.96
Multimedia specialist,Finance,Increasing,high,104597.49,Associate Degree,4,5487,9404,27.87,12.9,Brazil,28.82
"Administrator, sports",IT,Decreasing,high,31202.24,High School,3,5350,6654,30.82,48.79,USA,47.02
Field trials officer,Education,Increasing,high,37838.14,PhD,3,1031,9592,64.71,95.92,Germany,33.27
"Production assistant, television",IT,Decreasing,high,140157.86,Bachelor’s Degree,8,3748,3454,78.29,50.37,Brazil,26.81
Pensions consultant,Retail,Increasing,high,39607.66,PhD,11,1357,1634,90.23,25.4,China,52.76
Music tutor,Education,Increasing,high,125079.31,Associate Degree,15,3969,8174,8.22,99.4,UK,51.01
Health promotion specialist,IT,Decreasing,high,137570.45,Associate Degree,0,9476,8478,32.07,39.21,Australia,56.33
Broadcast engineer,Manufacturing,Increasing,high,131343.41,Master’s Degree,15,4527,1926,25.31,45.56,Brazil,72.5
"Engineer, land",IT,Decreasing,high,72041.34,Bachelor’s Degree,14,5777,5707,26.49,96.48,Canada,48.86
Chartered loss adjuster,Finance,Increasing,high,77637.41,High School,4,3536,6004,40.16,56.51,China,48.61
Print production planner,Retail,Increasing,high,60996.73,High School,10,3336,7958,94.58,18.32,Australia,55.71
Clinical molecular geneticist,Manufacturing,Increasing,high,134410.31,Master’s Degree,13,5194,6482,51.39,21.02,Australia,72.46
Agricultural engineer,Manufacturing,Increasing,high,50658.63,High School,9,1010,9184,4.08,5.08,USA,67.11
"Engineer, broadcasting (operations)",Retail,Increasing,high,47679.53,Master’s Degree,10,7751,6965,92.7,82.26,Australia,72.37
Social worker,Education,Increasing,high,92670.27,Bachelor’s Degree,20,3274,8050,58.79,92.81,Australia,65.5
Personnel officer,Transportation,Decreasing,high,135227.14,Associate Degree,0,7724,2895,14.31,1.46,Australia,74.22
Artist,Transportation,Decreasing,high,100231.66,Master’s Degree,4,172,487,6.19,92.62,China,55.72
Cabin crew,Manufacturing,Increasing,high,77270.03,Master’s Degree,20,3984,2384,0.45,25.86,India,32.83
"Engineer, building services",IT,Increasing,high,108580.15,High School,9,1098,4727,32.79,51.15,India,40.43
"Education officer, community",Healthcare,Increasing,high,103593.4,Bachelor’s Degree,19,792,395,74.3,15.3,Australia,55.9
"Production assistant, radio",Entertainment,Increasing,high,55445.41,Master’s Degree,12,2419,9947,88.83,96.55,Australia,60.65
Chemical engineer,Transportation,Increasing,high,147187.79,High School,19,9807,7329,4.18,88.29,UK,39.86
Farm manager,Education,Increasing,high,67824.28,Associate Degree,10,8372,144,28.17,97.26,USA,35.44
Community education officer,Manufacturing,Decreasing,high,83165.35,Master’s Degree,1,6144,5336,51.33,33.18,India,68.3
"Surveyor, building",Manufacturing,Increasing,high,112881.2,PhD,20,5798,4091,97.22,58.23,Canada,37.87
Cartographer,Retail,Increasing,high,49799.14,High School,9,3625,7948,53.85,85.37,India,50.13
Agricultural engineer,Transportation,Increasing,high,146263.41,PhD,19,7628,5614,94.94,92.03,Canada,58.3
Drilling engineer,Transportation,Decreasing,high,99151.35,Bachelor’s Degree,6,4535,4800,28.28,72.55,Australia,48.18
Conference centre manager,Manufacturing,Decreasing,high,124417.1,High School,17,5214,2931,7.4,0.64,China,56.16
Clinical research associate,Healthcare,Increasing,high,122255.07,High School,13,1512,1826,74.77,30.3,Australia,30.36
Futures trader,Entertainment,Decreasing,high,96313.94,Bachelor’s Degree,9,7983,153,44.82,1.22,Canada,65.28
Publishing rights manager,Entertainment,Increasing,high,148385.53,Associate Degree,8,2320,7638,22.95,6.34,Canada,46.46
"Engineer, mining",Entertainment,Increasing,high,71014.41,Master’s Degree,2,4765,5855,9.21,11.16,Germany,69.41
Interior and spatial designer,Healthcare,Decreasing,high,64746.47,Bachelor’s Degree,20,2254,7126,61.09,44.6,Germany,24.02
Mining engineer,Transportation,Increasing,high,111700.69,Master’s Degree,8,935,5171,69.45,57.78,India,54.19
Clinical psychologist,Transportation,Decreasing,high,142237.24,Bachelor’s Degree,1,3276,3388,42.79,28.6,UK,57.8
Industrial/product designer,IT,Increasing,high,38181.98,Bachelor’s Degree,8,7803,7747,5.95,29.61,UK,51.5
"Geologist, wellsite",Finance,Decreasing,high,139130.47,Bachelor’s Degree,0,1302,3287,36.48,33.42,China,44.27
Stage manager,Manufacturing,Increasing,high,124422.4,Associate Degree,5,6680,6201,82.94,21.07,China,40.77
Actor,IT,Increasing,high,96546.62,PhD,3,8892,3447,25.29,78.62,Canada,45.76
Automotive engineer,IT,Increasing,high,71168.2,Associate Degree,7,3590,839,84.2,22.23,Brazil,63.18
"Merchandiser, retail",Transportation,Increasing,high,73155.77,PhD,12,9480,5095,77.51,80.49,Germany,78.36
Cytogeneticist,Entertainment,Decreasing,high,145216.91,Associate Degree,14,6136,7861,97.49,98.2,India,71.38
Food technologist,Education,Increasing,high,95130.39,Master’s Degree,4,3304,9878,5.86,6.41,China,69.1
Lawyer,Entertainment,Decreasing,high,73462.38,High School,9,1021,2772,46.41,86.12,India,64.66
Psychotherapist,Manufacturing,Decreasing,high,135992.94,Associate Degree,5,9130,4950,87.22,79.39,China,33.23
Photographer,Finance,Decreasing,high,127334.18,PhD,16,4093,4291,52.6,82.1,USA,61.8
Cabin crew,Finance,Increasing,high,82181.63,Associate Degree,7,173,7704,16.52,42.56,India,41.25
Chief Strategy Officer,Education,Increasing,high,65335.61,Bachelor’s Degree,19,1989,9086,18.78,66.99,Australia,62.65
Retail banker,IT,Decreasing,high,49150.16,Associate Degree,17,3131,3202,6.42,78.98,Australia,29.31
Insurance claims handler,Retail,Decreasing,high,62970.16,High School,2,265,2714,64.4,27.69,Canada,72.47
Private music teacher,Healthcare,Decreasing,high,123149.65,Bachelor’s Degree,4,7820,9723,22.57,64.11,Germany,32.7
"Doctor, general practice",Entertainment,Increasing,high,88041.24,High School,16,1302,5013,3.0,29.59,Australia,25.93
Broadcast presenter,Transportation,Increasing,high,39434.53,Associate Degree,18,960,2217,72.58,4.55,Australia,72.0
Special effects artist,Retail,Decreasing,high,87546.11,PhD,7,6680,7019,25.3,96.85,UK,79.82
Housing manager/officer,Retail,Increasing,high,136001.24,Associate Degree,17,3542,7137,61.81,93.64,China,37.44
Photographer,Entertainment,Decreasing,high,59939.4,Master’s Degree,11,8575,2413,70.72,44.65,Australia,57.99
"Teacher, early years/pre",Education,Increasing,high,119858.63,Associate Degree,17,9872,9329,61.58,19.81,Australia,35.08
Scientific laboratory technician,Healthcare,Increasing,high,139269.24,Master’s Degree,2,2598,1495,45.47,81.18,Australia,37.88
Chartered accountant,Entertainment,Increasing,high,139196.72,High School,17,2750,8444,0.87,59.9,China,34.58
"Teacher, special educational needs",Transportation,Decreasing,high,92000.95,Master’s Degree,12,5660,5777,2.75,92.02,Brazil,56.2
"Journalist, broadcasting",Retail,Decreasing,high,104643.72,Associate Degree,7,2264,3424,5.35,51.96,India,35.11
Logistics and distribution manager,Healthcare,Increasing,high,37022.66,Master’s Degree,0,1643,2387,90.77,14.1,Canada,52.89
IT consultant,Manufacturing,Increasing,high,105728.01,Associate Degree,13,4640,4954,89.82,90.9,Germany,74.04
Community education officer,Healthcare,Increasing,high,51797.01,Bachelor’s Degree,10,8038,8153,56.43,73.81,India,72.11
"Copywriter, advertising",Entertainment,Decreasing,high,82466.47,PhD,20,5754,9902,87.56,78.76,India,51.97
Museum/gallery conservator,Transportation,Increasing,high,73780.08,PhD,17,453,1920,27.98,35.03,Brazil,27.95
Structural engineer,Transportation,Decreasing,high,52467.19,Master’s Degree,15,4187,7215,61.86,12.49,India,77.01
Licensed conveyancer,Finance,Increasing,high,91311.44,Bachelor’s Degree,12,9089,8786,60.35,84.43,India,43.3
"Engineer, biomedical",Healthcare,Increasing,high,83345.84,High School,2,8217,2767,12.97,67.28,Canada,31.44
Research scientist (medical),Retail,Decreasing,high,76020.56,PhD,2,3713,7581,45.29,22.3,China,29.87
Dietitian,Entertainment,Decreasing,high,64815.9,Associate Degree,2,6998,8788,53.36,11.98,Germany,45.17
Marketing executive,Entertainment,Increasing,high,139170.92,PhD,4,1479,7304,18.68,52.8,Canada,70.54
Clothing/textile technologist,Entertainment,Increasing,high,58383.77,PhD,7,1880,5981,49.83,30.82,Germany,30.23
Sales promotion account executive,Manufacturing,Increasing,high,38776.51,Associate Degree,13,776,8694,90.86,82.54,Australia,63.35
Media buyer,Entertainment,Increasing,high,34099.32,Bachelor’s Degree,1,4285,6300,5.54,54.7,China,50.13
Physiological scientist,Transportation,Increasing,high,104275.29,High School,18,5297,8914,28.48,31.41,USA,33.81
"Biochemist, clinical",Transportation,Increasing,high,104032.15,Bachelor’s Degree,15,3580,9903,88.02,14.12,Germany,51.92
Arts development officer,Manufacturing,Increasing,high,131150.68,Bachelor’s Degree,15,9583,4752,4.6,18.81,USA,74.67
Volunteer coordinator,Transportation,Decreasing,high,71845.19,PhD,13,9616,2575,17.36,82.91,Germany,51.72
Psychotherapist,Healthcare,Decreasing,high,37972.09,PhD,18,2608,6849,33.89,18.53,USA,60.55
Charity fundraiser,Manufacturing,Increasing,high,142019.71,PhD,8,666,9475,58.85,27.27,USA,63.47
Chartered loss adjuster,Finance,Decreasing,high,59386.3,PhD,12,5953,9591,76.18,32.58,UK,78.0
"Engineer, civil (consulting)",Healthcare,Decreasing,high,143444.52,High School,1,5105,9615,45.55,41.07,UK,70.56
Financial planner,Education,Decreasing,high,139926.09,High School,17,2294,4940,93.09,56.12,Brazil,21.6
Writer,Entertainment,Increasing,high,81473.42,PhD,16,932,3584,21.56,96.28,Canada,73.24
"Buyer, retail",Manufacturing,Increasing,high,83719.81,Master’s Degree,19,8427,2319,10.75,0.6,Germany,51.29
"Accountant, chartered management",IT,Decreasing,high,48652.04,Bachelor’s Degree,12,7399,5042,52.51,34.27,Australia,45.72
Curator,Entertainment,Decreasing,high,82720.36,PhD,20,6566,3632,89.39,25.12,Brazil,38.86
"Designer, industrial/product",Transportation,Increasing,high,105280.0,PhD,4,1382,6025,7.99,52.36,USA,36.51
Adult guidance worker,Transportation,Increasing,high,147899.94,Master’s Degree,11,1021,3101,83.15,50.04,USA,53.55
Energy manager,IT,Decreasing,high,44033.08,Associate Degree,10,8098,9254,30.03,67.14,China,36.82
Chartered accountant,Transportation,Increasing,high,143531.98,Master’s Degree,19,4005,2112,23.45,96.94,Australia,31.61
"Engineer, manufacturing systems",Education,Decreasing,high,131026.53,High School,18,8432,4423,14.35,72.23,Australia,79.5
"Psychologist, educational",Healthcare,Decreasing,high,81877.9,Bachelor’s Degree,14,2033,1201,14.25,74.33,Australia,69.69
Land/geomatics surveyor,Healthcare,Decreasing,high,121606.97,Associate Degree,10,7770,3546,48.34,64.09,Brazil,63.73
Psychiatric nurse,Education,Increasing,high,139769.51,High School,9,9468,3724,66.99,53.6,USA,25.97
Chartered management accountant,Entertainment,Increasing,high,75663.07,Associate Degree,13,7417,6415,36.18,69.07,Germany,30.83
"Research officer, trade union",Entertainment,Decreasing,high,76497.47,Associate Degree,12,5445,2857,47.9,71.22,Canada,70.87
Automotive engineer,Finance,Decreasing,high,111420.83,Master’s Degree,0,2585,8990,19.47,73.0,China,40.06
Advertising account planner,Entertainment,Decreasing,high,36173.42,Associate Degree,14,1533,6767,43.62,19.55,Germany,48.23
Curator,IT,Decreasing,high,75049.13,Bachelor’s Degree,2,7503,6436,63.31,25.0,Canada,22.78
"Therapist, sports",Finance,Increasing,high,82119.7,Associate Degree,5,9617,3057,17.18,81.68,China,56.7
Animator,Retail,Decreasing,high,77014.54,Bachelor’s Degree,0,7492,6422,32.58,29.22,UK,69.28
"Development worker, community",Finance,Increasing,high,121123.79,Bachelor’s Degree,16,524,9058,60.55,46.19,Canada,23.74
Proofreader,Healthcare,Decreasing,high,131698.28,Master’s Degree,4,6415,8190,57.56,77.33,UK,74.29
Systems analyst,Healthcare,Decreasing,high,140601.34,High School,5,4730,5035,25.82,69.58,Brazil,35.78
"Clinical scientist, histocompatibility and immunogenetics",Entertainment,Decreasing,high,49361.08,PhD,9,3912,2054,26.56,93.41,Australia,37.4
Product designer,Healthcare,Increasing,high,32468.49,High School,19,1649,5992,18.63,51.5,Australia,23.54
Hydrographic surveyor,IT,Decreasing,high,139427.63,High School,18,9325,1510,4.88,1.32,USA,44.85
Tour manager,Transportation,Increasing,high,135509.17,Bachelor’s Degree,0,1656,7998,92.07,64.89,Canada,29.1
"Programme researcher, broadcasting/film/video",Healthcare,Decreasing,high,78071.81,Associate Degree,18,3988,5145,45.98,3.98,India,40.08
Claims inspector/assessor,Retail,Decreasing,high,75323.98,PhD,8,6781,7590,80.64,38.45,China,72.15
"Engineer, communications",Finance,Decreasing,high,40315.58,Master’s Degree,0,6228,6297,48.45,97.49,China,23.84
Chief Marketing Officer,Healthcare,Increasing,high,142736.02,High School,14,5102,9772,46.38,11.79,Australia,59.06
Medical illustrator,Education,Decreasing,high,87133.14,PhD,2,6608,9653,26.37,43.15,Canada,24.93
Clinical psychologist,Transportation,Increasing,high,69967.03,PhD,3,8450,1582,57.77,73.14,Australia,30.04
Database administrator,Entertainment,Increasing,high,123091.96,High School,19,3886,9446,10.37,69.62,Australia,78.85
"Physicist, medical",Finance,Increasing,high,104342.82,Bachelor’s Degree,8,331,6996,79.91,8.57,Germany,35.6
Naval architect,Healthcare,Decreasing,high,83401.35,Master’s Degree,12,5585,1578,55.01,12.94,UK,58.87
Legal secretary,Retail,Increasing,high,125584.29,Associate Degree,10,9703,4111,61.77,48.54,Canada,37.57
International aid/development worker,Manufacturing,Decreasing,high,95145.49,High School,7,1004,6763,22.07,6.38,Canada,47.66
Diagnostic radiographer,Manufacturing,Decreasing,high,127484.61,Master’s Degree,8,1813,2747,11.84,91.64,China,75.55
Photographer,Entertainment,Decreasing,high,70859.68,Associate Degree,4,3127,2543,73.56,25.81,China,42.69
Insurance risk surveyor,Education,Increasing,high,63326.58,High School,4,1306,9446,15.43,79.5,UK,23.4
Multimedia specialist,Transportation,Decreasing,high,30619.1,Associate Degree,16,4010,2133,0.36,36.39,China,70.95
Advertising art director,Transportation,Increasing,high,40250.1,PhD,11,7306,3968,93.8,7.91,UK,73.43
Financial manager,Entertainment,Decreasing,high,59322.49,Master’s Degree,1,9652,8133,84.89,9.16,Germany,46.73
Production manager,Education,Increasing,high,86510.91,High School,9,3317,2400,99.13,25.9,China,75.66
Legal secretary,Transportation,Decreasing,high,81523.81,Bachelor’s Degree,16,4523,867,24.06,30.31,Germany,25.99
"Surveyor, hydrographic",Finance,Increasing,high,127549.63,High School,2,1405,7985,93.8,90.46,USA,63.71
"Runner, broadcasting/film/video",Finance,Increasing,high,106911.33,Master’s Degree,9,972,5511,36.86,42.12,Australia,73.52
Firefighter,Entertainment,Decreasing,high,58544.04,PhD,0,4821,2001,35.19,39.98,India,44.94
Astronomer,IT,Increasing,high,120715.1,High School,13,6697,9682,8.54,5.01,Germany,58.44
"Engineer, technical sales",Education,Decreasing,high,108913.33,PhD,13,7291,9935,40.22,13.54,Brazil,54.5
Photographer,Entertainment,Increasing,high,92815.92,High School,12,8084,8511,44.74,1.98,Canada,54.0
Music tutor,Education,Decreasing,high,78568.36,PhD,4,1207,9398,32.48,32.61,UK,34.62
Dealer,IT,Increasing,high,51028.1,High School,8,2783,1277,3.52,28.07,Australia,51.81
Psychiatric nurse,Transportation,Increasing,high,39434.3,Bachelor’s Degree,8,5705,2465,17.64,26.95,China,45.9
"Surveyor, planning and development",Retail,Increasing,high,56390.04,PhD,12,9641,9533,63.63,15.75,Australia,53.84
Press photographer,Manufacturing,Decreasing,high,98674.09,Bachelor’s Degree,6,6316,1217,2.51,2.91,Canada,60.09
Mining engineer,IT,Increasing,high,92451.01,Bachelor’s Degree,16,7706,116,55.7,99.95,India,24.71
"Scientist, physiological",Retail,Increasing,high,141731.12,Bachelor’s Degree,1,4676,3807,61.63,3.37,Canada,68.8
"Administrator, Civil Service",Retail,Increasing,high,116923.36,PhD,10,6502,4293,95.99,20.67,UK,35.59
"Administrator, education",Retail,Increasing,high,128108.08,Associate Degree,13,9197,7790,22.74,88.79,UK,57.39
Horticultural consultant,Healthcare,Increasing,high,145381.3,Master’s Degree,4,9918,5071,57.29,59.19,India,36.26
Secretary/administrator,IT,Increasing,high,62036.62,Bachelor’s Degree,18,8292,6527,16.02,14.7,Canada,46.83
Theatre director,Healthcare,Increasing,high,141539.55,Associate Degree,4,6112,6377,12.3,15.74,Canada,42.94
"Psychologist, occupational",Entertainment,Decreasing,high,134012.69,Master’s Degree,2,8991,1696,91.49,18.98,Canada,28.73
Broadcast presenter,IT,Decreasing,high,100000.72,Associate Degree,19,6839,7955,37.57,80.25,India,57.42
Community arts worker,Entertainment,Decreasing,high,38204.7,Bachelor’s Degree,7,6699,2651,79.68,16.2,Canada,59.48
Retail buyer,Healthcare,Increasing,high,45430.62,High School,8,6362,5411,7.75,60.52,Canada,43.06
Teaching laboratory technician,Manufacturing,Decreasing,high,101623.12,High School,9,7913,5993,47.14,88.22,Australia,28.88
Magazine journalist,Healthcare,Decreasing,high,68870.39,Master’s Degree,6,3462,4819,30.31,12.64,India,70.34
Podiatrist,Finance,Decreasing,high,148364.99,High School,12,573,7013,12.83,43.99,China,24.32
"Exhibitions officer, museum/gallery",Healthcare,Increasing,high,36935.43,Master’s Degree,17,8792,1886,82.25,73.37,China,31.45
"Therapist, horticultural",Retail,Decreasing,high,61687.23,PhD,20,2378,5027,84.61,85.08,Brazil,40.82
Arts administrator,Transportation,Increasing,high,57041.73,PhD,17,3247,471,72.14,45.29,Germany,33.25
Learning disability nurse,Finance,Decreasing,high,34125.1,Master’s Degree,14,1036,7179,18.51,34.36,Canada,57.41
"Designer, graphic",Finance,Increasing,high,122705.6,Associate Degree,2,5756,5315,81.62,88.83,Australia,21.35
Colour technologist,Retail,Increasing,high,30109.9,PhD,8,1633,5875,15.23,93.26,India,27.92
Camera operator,Retail,Increasing,high,34120.78,PhD,3,2859,9040,62.68,62.46,USA,60.98
Associate Professor,Healthcare,Decreasing,high,137585.77,Master’s Degree,18,6202,4670,44.23,37.21,India,72.57
"Engineer, aeronautical",Finance,Decreasing,high,113123.77,Associate Degree,11,4574,5579,34.05,3.28,USA,50.13
"Designer, television/film set",Education,Increasing,high,91970.06,Associate Degree,3,7331,8909,27.7,32.95,Germany,47.16
"Editor, magazine features",Retail,Decreasing,high,104045.85,Bachelor’s Degree,7,5347,6900,85.62,37.94,China,22.27
Community pharmacist,Healthcare,Decreasing,high,50318.91,High School,19,5897,4601,37.82,13.3,Canada,57.48
Insurance claims handler,Retail,Increasing,high,50323.56,PhD,1,5750,5837,18.68,6.01,China,20.6
